0,title,url,stage,date,start_time,end_time
177,BASH STREET THEATRE,http://www.miraculoustheatre.com,GLEBELAND,24/06/2023,16:00,16:40
178,BASH STREET THEATRE,http://www.miraculoustheatre.com,GLEBELAND,24/06/2023,13:00,13:40
179,BASH STREET THEATRE,http://www.miraculoustheatre.com,GLEBELAND,25/06/2023,14:30,15:10
180,BASHKKA,https://ra.co/dj/bashkka,GENOSYS SOUND SYSTEM,24/06/2023,04:30,06:00
181,BASSWEIGHT COLLECTIVE,,BLIND TIGER,25/06/2023,14:00,15:00
182,BASTARD LOVE,https://ra.co/dj/bastardlove,STRUMMERVILLE,24/06/2023,01:30,03:00
183,BATU B2B ANZ,,THE LEVELS,25/06/2023,21:30,23:30
184,BATU,https://ra.co/dj/batu-uk,IICON,22/06/2023,23:15,01:15
185,BAZUKA,https://www.instagram.com/bazuka.nights/,BABYLON UPRISING,22/06/2023,22:00,23:00
186,BBC 1XTRA AT GLASTONBURY WITH DJ TARGET & FRIENDS,,BBC MUSIC INTRODUCING,24/06/2023,19:00,21:00
187,BBC 1XTRA AT GLASTONBURY WITH DJ TARGET,,BBC MUSIC INTRODUCING,24/06/2023,21:00,23:00
188,BBC ASIAN NETWORK CERTIFIED AT GLASTONBURY WITH DJ MANARA,,BBC MUSIC INTRODUCING,25/06/2023,21:00,23:00
189,BBC NATURAL HISTORY UNIT,,LABORATORY STAGE,22/06/2023,14:15,14:45
190,BBC NATURAL HISTORY UNIT,,LABORATORY STAGE,23/06/2023,15:00,15:45
191,BBC NATURAL HISTORY UNIT,,LABORATORY STAGE,24/06/2023,14:15,14:45
192,BBC NATURAL HISTORY UNIT,,LABORATORY STAGE,25/06/2023,15:00,15:45
193,BBC R1 DANCE TAKEOVER,,BBC MUSIC INTRODUCING,22/06/2023,18:00,23:00
194,BBC RADIO 1 ESSENTIAL MIX (LIVE),,NOWHERE,23/06/2023,02:00,03:00
195,BBC RADIO 1 ESSENTIAL MIX (LIVE),,NOWHERE,23/06/2023,01:00,02:00
196,BBC RADIO 1 ESSENTIAL MIX (LIVE),,NOWHERE,23/06/2023,00:00,01:00
197,BBC RADIO 6 MUSIC: INDIE FOREVER LIVE AT GLASTONBURY,https://www.bbc.co.uk/programmes/m0012v02,BBC MUSIC INTRODUCING,23/06/2023,21:00,23:00
198,BEANS ON TOAST,https://beansontoastmusic.com,AVALON STAGE,24/06/2023,14:10,15:05
199,BEAT BOX COLLECTIVE,https://www.thebeatboxcollective.com/,BREAD AND ROSES,24/06/2023,01:00,02:00
200,BEAT BOX COLLECTIVE,https://www.5thelementagency.com/,CIRCUS BIG TOP,22/06/2023,23:15,23:25
201,BEAT BOX WORKSHOP WITH LEE,https://leemakesnoises.co.uk/,HUMBLEWELL ACTIVE PLATFORM,22/06/2023,16:30,17:30
202,BEAT BOX WORKSHOP WITH LEE,https://leemakesnoises.co.uk/,HUMBLEWELL ACTIVE PLATFORM,23/06/2023,16:30,17:30
203,BEAT BOX WORKSHOP WITH LEE,https://leemakesnoises.co.uk/,HUMBLEWELL ACTIVE PLATFORM,24/06/2023,16:30,17:30
204,BEAT BOX WORKSHOP WITH LEE,https://leemakesnoises.co.uk/,HUMBLEWELL ACTIVE PLATFORM,25/06/2023,14:00,15:00
205,BEATBOX COLLECTIVE,https://www.5thelementagency.com/,THE GATEWAY,23/06/2023,13:15,13:45
206,BEATBOX COLLECTIVE,https://www.5thelementagency.com/,THE GATEWAY,24/06/2023,13:10,13:40
207,BEATBOX COLLECTIVE,https://www.5thelementagency.com/,THE GATEWAY,25/06/2023,13:10,13:40
208,BEATBOX COLLECTIVE,https://www.5thelementagency.com/,A LITTLE MORE SENSATION,23/06/2023,18:25,18:55
209,BEATBOX COLLECTIVE,https://www.5thelementagency.com/,A LITTLE MORE SENSATION,24/06/2023,16:05,16:35
210,BEATBOX COLLECTIVE,https://www.5thelementagency.com/,A LITTLE MORE SENSATION,25/06/2023,14:20,14:50
